ZIP,LAT,LNG,City,State
01072,42.456968, -72.417244,SHUTESBURY,MA
01073,42.226949, -72.741588,SOUTHAMPTON,MA
01074,42.387603, -72.093230,SOUTH BARRE,MA
01075,42.256532, -72.580248,SOUTH HADLEY,MA
01077,42.052570, -72.777353,SOUTHWICK,MA
01079,42.194327, -72.328888,THORNDIKE,MA
01080,42.185727, -72.361558,THREE RIVERS,MA
01081,42.061313, -72.234411,WALES,MA
01082,42.299749, -72.279164,WARE,MA
01083,42.203642, -72.194599,WARREN,MA
01084,42.392370, -72.882235,WEST CHESTERFIELD,MA
01085,42.153503, -72.771602,WESTFIELD,MA
01086,42.130446, -72.793967,WESTFIELD,MA
01088,42.391709, -72.646494,WEST HATFIELD,MA
01089,42.125451, -72.649734,WEST SPRINGFIELD,MA
01092,42.191868, -72.235108,WEST WARREN,MA
01093,42.441943, -72.661817,WHATELY,MA
01094,42.359108, -72.136800,WHEELWRIGHT,MA
01095,42.138527, -72.420703,WILBRAHAM,MA
01096,42.397138, -72.763554,WILLIAMSBURG,MA
01097,42.178038, -72.832612,WORONOCO,MA
01098,42.394315, -72.943115,WORTHINGTON,MA
01103,42.104106, -72.592027,SPRINGFIELD,MA
01104,42.134009, -72.565378,SPRINGFIELD,MA
01105,42.099958, -72.580765,SPRINGFIELD,MA
01106,42.048054, -72.569275,LONGMEADOW,MA
01107,42.121060, -72.607068,SPRINGFIELD,MA
01108,42.080692, -72.560791,SPRINGFIELD,MA
01109,42.119674, -72.549726,SPRINGFIELD,MA
01118,42.094587, -72.525219,SPRINGFIELD,MA
01119,42.124978, -72.511210,SPRINGFIELD,MA
01128,42.092296, -72.489135,SPRINGFIELD,MA
01129,42.118671, -72.488203,SPRINGFIELD,MA
01151,42.151860, -72.509131,INDIAN ORCHARD,MA
01199,42.120563, -72.604468,SPRINGFIELD,MA
01201,42.448236, -73.273727,PITTSFIELD,MA
01220,42.623808, -73.116741,ADAMS,MA
01222,42.058703, -73.322175,ASHLEY FALLS,MA
01223,42.312225, -73.110124,BECKET,MA
01224,42.513163, -73.195743,BERKSHIRE,MA
01225,42.563401, -73.153335,CHESHIRE,MA
01226,42.481119, -73.135073,DALTON,MA
01229,42.277932, -73.332032,GLENDALE,MA
01230,42.173196, -73.324290,GREAT BARRINGTON,MA
01235,42.425677, -73.063028,HINSDALE,MA
01236,42.266496, -73.378393,HOUSATONIC,MA
01237,42.537915, -73.271649,LANESBORO,MA
01238,42.297501, -73.230148,LEE,MA
01240,42.367858, -73.269763,LENOX,MA
01242,42.333734, -73.249199,LENOX DALE,MA
01243,42.350122, -73.024112,MIDDLEFIELD,MA
01244,42.118094, -73.257497,MILL RIVER,MA
01245,42.186893, -73.223105,MONTEREY,MA
01247,42.698526, -73.084300,NORTH ADAMS,MA
01253,42.206683, -73.113214,OTIS,MA
01254,42.382019, -73.365492,RICHMOND,MA
01255,42.107496, -73.118607,SANDISFIELD,MA
01256,42.594166, -73.022320,SAVOY,MA
01257,42.085244, -73.367483,SHEFFIELD,MA
01258,42.109280, -73.462886,SOUTH EGREMONT,MA
01259,42.075469, -73.234376,SOUTHFIELD,MA
01260,42.295695, -73.342544,SOUTH LEE,MA
01262,42.292202, -73.319209,STOCKBRIDGE,MA
01264,42.231590, -73.202428,TYRINGHAM,MA
01266,42.312354, -73.388044,WEST STOCKBRIDGE,MA
01267,42.671617, -73.246981,WILLIAMSTOWN,MA
01270,42.515272, -73.031166,WINDSOR,MA
01301,42.626761, -72.601530,GREENFIELD,MA
01330,42.513947, -72.821517,ASHFIELD,MA
01331,42.562394, -72.191044,ATHOL,MA
01337,42.689307, -72.582289,BERNARDSTON,MA
01338,42.572488, -72.824145,BUCKLAND,MA
01339,42.603776, -72.889644,CHARLEMONT,MA
01340,42.694731, -72.710956,COLRAIN,MA
01341,42.492124, -72.709827,CONWAY,MA
01342,42.543889, -72.609458,DEERFIELD,MA
01343,42.657625, -72.978933,DRURY,MA
01344,42.613418, -72.426428,ERVING,MA
01346,42.693268, -72.823116,HEATH,MA
01347,42.559294, -72.518753,LAKE PLEASANT,MA
01349,42.563061, -72.482115,MILLERS FALLS,MA
01350,42.727772, -72.985346,MONROE BRIDGE,MA
01351,42.539880, -72.521689,MONTAGUE,MA
01354,42.624101, -72.508607,GILL,MA
01355,42.458551, -72.327191,NEW SALEM,MA
01360,42.677091, -72.453876,NORTHFIELD,MA
01364,42.605437, -72.292074,ORANGE,MA
01366,42.475621, -72.192468,PETERSHAM,MA
01367,42.695532, -72.909148,ROWE,MA
01368,42.679456, -72.176935,ROYALSTON,MA
01370,42.593376, -72.726928,SHELBURNE FALLS,MA
01373,42.475481, -72.615403,SOUTH DEERFIELD,MA
01375,42.466691, -72.546751,SUNDERLAND,MA
01376,42.595280, -72.555002,TURNERS FALLS,MA
01378,42.673533, -72.353213,WARWICK,MA
01379,42.556308, -72.407153,WENDELL,MA
01420,42.584925, -71.816862,FITCHBURG,MA
01430,42.657005, -71.923442,ASHBURNHAM,MA
01431,42.676293, -71.832523,ASHBY,MA
01432,42.564663, -71.567298,AYER,MA
01434,42.539753, -71.612330,DEVENS,MA
01436,42.602059, -72.087015,BALDWINVILLE,MA
01438,42.562243, -72.031402,EAST TEMPLETON,MA
01440,42.588337, -71.986069,GARDNER,MA
01450,42.611636, -71.564743,GROTON,MA
01451,42.501908, -71.568201,HARVARD,MA
01452,42.495111, -72.002339,HUBBARDSTON,MA
01453,42.519967, -71.763319,LEOMINSTER,MA
01460,42.535931, -71.490569,LITTLETON,MA
01462,42.582607, -71.720464,LUNENBURG,MA
01463,42.670643, -71.602858,PEPPERELL,MA
01464,42.573654, -71.640986,SHIRLEY,MA
01467,42.489495, -71.609346,STILL RIVER,MA
01468,42.542767, -72.068345,TEMPLETON,MA
01469,42.664794, -71.695055,TOWNSEND,MA
01473,42.554600, -71.905440,WESTMINSTER,MA
01474,42.669685, -71.752751,WEST TOWNSEND,MA
01475,42.668160, -72.055644,WINCHENDON,MA
01501,42.198708, -71.846006,AUBURN,MA
01503,42.384929, -71.633889,BERLIN,MA
01504,42.039991, -71.532406,BLACKSTONE,MA
01505,42.355049, -71.716157,BOYLSTON,MA
01506,42.180807, -72.107888,BROOKFIELD,MA
01507,42.133935, -71.968025,CHARLTON,MA
01510,42.411887, -71.690005,CLINTON,MA
01515,42.209682, -72.040178,EAST BROOKFIELD,MA
01516,42.053072, -71.752241,DOUGLAS,MA
01518,42.127477, -72.118818,FISKDALE,MA
01519,42.203404, -71.679739,GRAFTON,MA
01520,42.336385, -71.850759,HOLDEN,MA
01521,42.046783, -72.180212,HOLLAND,MA
01522,42.375634, -71.867382,JEFFERSON,MA
01523,42.483569, -71.675585,LANCASTER,MA
01524,42.249636, -71.919248,LEICESTER,MA
01525,42.106794, -71.630518,LINWOOD,MA
01527,42.192246, -71.777649,MILLBURY,MA
01529,42.036642, -71.578779,MILLVILLE,MA
01531,42.326183, -72.133431,NEW BRAINTREE,MA
01532,42.323342, -71.646236,NORTHBOROUGH,MA
01534,42.142074, -71.643348,NORTHBRIDGE,MA
01535,42.267564, -72.066876,NORTH BROOKFIELD,MA
01536,42.231309, -71.692642,NORTH GRAFTON,MA
01537,42.158966, -71.897051,NORTH OXFORD,MA
01540,42.116263, -71.857465,OXFORD,MA
01541,42.454125, -71.877540,PRINCETON,MA
01542,42.204251, -71.908907,ROCHDALE,MA
01543,42.388285, -71.969865,RUTLAND,MA
01545,42.284767, -71.714228,SHREWSBURY,MA
01550,42.059737, -72.033908,SOUTHBRIDGE,MA
01560,42.175395, -71.674223,SOUTH GRAFTON,MA
01561,42.443970, -71.685583,SOUTH LANCASTER,MA
01562,42.247211, -71.991867,SPENCER,MA
01564,42.447924, -71.776045,STERLING,MA
01566,42.103214, -72.079545,STURBRIDGE,MA
01568,42.176526, -71.603588,UPTON,MA
01569,42.055921, -71.631128,UXBRIDGE,MA
01570,42.047532, -71.846952,WEBSTER,MA
01571,42.053778, -71.935075,DUDLEY,MA
01581,42.268426, -71.613309,WESTBOROUGH,MA
01583,42.369417, -71.785036,WEST BOYLSTON,MA
01585,42.240796, -72.162645,WEST BROOKFIELD,MA
01588,42.118800, -71.672496,WHITINSVILLE,MA
01590,42.132051, -71.750318,SUTTON,MA
01602,42.269189, -71.850728,WORCESTER,MA
01603,42.243826, -71.843569,WORCESTER,MA
01604,42.253485, -71.767932,WORCESTER,MA
